# z log_nh fraction_observed
5.000000000000000000e+00 2.100000000000000000e+01 9.087464799428139894e-01
5.000000000000000000e+00 2.150000000000000000e+01 9.008315374558427679e-01
5.000000000000000000e+00 2.200000000000000000e+01 8.766112810999200367e-01
5.000000000000000000e+00 2.250000000000000000e+01 8.239817203721855332e-01
5.000000000000000000e+00 2.300000000000000000e+01 6.803528632497407580e-01
5.000000000000000000e+00 2.350000000000000000e+01 4.456960095591941950e-01
5.000000000000000000e+00 2.400000000000000000e+01 2.083263373939004959e-01
5.000000000000000000e+00 2.450000000000000000e+01 1.139470923981490275e-01
5.000000000000000000e+00 2.500000000000000000e+01 1.104233672432070185e-01
5.000000000000000000e+00 2.550000000000000000e+01 1.104231823803436124e-01
5.000000000000000000e+00 2.600000000000000000e+01 1.104231823803436124e-01
5.500000000000000000e+00 2.000000000000000000e+01 9.288988853059121364e-01
5.500000000000000000e+00 2.050000000000000000e+01 9.282127519196895493e-01
5.500000000000000000e+00 2.100000000000000000e+01 9.260488620189244457e-01
5.500000000000000000e+00 2.150000000000000000e+01 9.192640568730364725e-01
5.500000000000000000e+00 2.200000000000000000e+01 8.983741295520936143e-01
5.500000000000000000e+00 2.250000000000000000e+01 8.547588017809749639e-01
5.500000000000000000e+00 2.300000000000000000e+01 7.261549502744956142e-01
5.500000000000000000e+00 2.350000000000000000e+01 4.961252430663856683e-01
5.500000000000000000e+00 2.400000000000000000e+01 2.424173354079418585e-01
5.500000000000000000e+00 2.450000000000000000e+01 1.265942455382032539e-01
5.500000000000000000e+00 2.500000000000000000e+01 1.205677745539235346e-01
5.500000000000000000e+00 2.550000000000000000e+01 1.205670385025844893e-01
5.500000000000000000e+00 2.600000000000000000e+01 1.205670385025844893e-01
6.000000000000000000e+00 2.000000000000000000e+01 9.460620424173290521e-01
6.000000000000000000e+00 2.050000000000000000e+01 9.454647026896522144e-01
6.000000000000000000e+00 2.100000000000000000e+01 9.435799463322883662e-01
6.000000000000000000e+00 2.150000000000000000e+01 9.376614715938628164e-01
6.000000000000000000e+00 2.200000000000000000e+01 9.193535608788848679e-01
6.000000000000000000e+00 2.250000000000000000e+01 8.830045545653538719e-01
6.000000000000000000e+00 2.300000000000000000e+01 7.679638396612172846e-01
6.000000000000000000e+00 2.350000000000000000e+01 5.453458165194344787e-01
6.000000000000000000e+00 2.400000000000000000e+01 2.783927946610997850e-01
6.000000000000000000e+00 2.450000000000000000e+01 1.408858216292317167e-01
6.000000000000000000e+00 2.500000000000000000e+01 1.315405793207361229e-01
6.000000000000000000e+00 2.550000000000000000e+01 1.315383938872678460e-01
6.000000000000000000e+00 2.600000000000000000e+01 1.315383938872678182e-01
